node,Qwen2.5-72B-Instruct,Llama-3.1-70B-Instruct,gpt-4o-mini-2024-07-18,claude-3.5-haiku,Llama-3.1-Tulu-3-70B,Qwen2.5-7B-Instruct,Llama-3.1-8B-Instruct,gpt-3.5-turbo,Llama-3.1-Tulu-3-8B
120,0.875,0.8333333333333334,0.875,0.7916666666666666,0.8333333333333334,0.9166666666666666,0.5833333333333334,0.5833333333333334,0.625
121,1.0,0.0,0.5,1.0,0.0,1.0,1.0,0.5,1.0
122,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
123,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
124,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
125,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
126,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
127,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5
128,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
129,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
130,1.0,1.0,1.0,0.8,1.0,1.0,0.6,0.8,0.6
131,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
132,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
133,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0
134,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
135,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
136,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,0.5
137,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
138,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
139,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5
140,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
141,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
142,0.75,0.875,0.875,0.625,0.875,0.875,0.5,0.5,0.625
143,0.0,0.5,0.5,0.0,1.0,0.5,0.0,0.5,0.5
144,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
145,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
146,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,0.6666666666666666,0.5,0.6666666666666666
147,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
148,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
149,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
150,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
151,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0
152,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
153,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
154,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5
155,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
156,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
157,0.8026315789473685,0.868421052631579,0.7763157894736842,0.7368421052631579,0.8026315789473685,0.7894736842105263,0.6710526315789473,0.5394736842105263,0.5394736842105263
158,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
159,0.7142857142857143,0.7857142857142857,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.6428571428571429,0.5,0.5
160,0.75,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0.25
161,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
162,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0
163,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
164,1.0,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.0
165,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
166,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
167,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
168,0.6666666666666666,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.7777777777777778,0.8888888888888888,0.6666666666666666,0.4444444444444444,0.5555555555555556
169,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
170,0.625,0.875,0.75,0.875,0.75,0.875,0.625,0.375,0.5
171,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
172,1.0,1.0,0.5,1.0,1.0,1.0,1.0,0.0,0.0
173,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
174,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
175,0.5,1.0,0.5,0.5,1.0,1.0,0.5,0.0,0.5
176,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
177,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
178,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
179,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
180,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5
181,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
182,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
183,0.9,0.9,1.0,1.0,0.9,0.8,0.7,0.7,0.6
184,1.0,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5
185,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
186,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
187,0.8571428571428571,1.0,1.0,1.0,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.7142857142857143
188,0.8333333333333334,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.6666666666666666
189,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
190,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
191,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
192,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
193,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
194,0.6666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666
195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
196,0.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,0.5
197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
198,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
199,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
200,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
201,0.6666666666666666,0.8888888888888888,0.5555555555555556,0.7777777777777778,0.8888888888888888,0.6666666666666666,0.6666666666666666,0.2222222222222222,0.5555555555555556
202,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
203,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
204,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
205,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
206,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
207,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.3333333333333333
208,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
209,0.5,1.0,0.5,1.0,0.5,0.5,1.0,1.0,0.5
210,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
211,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
212,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,1.0
213,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
214,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
215,1.0,1.0,1.0,0.8,1.0,1.0,1.0,0.8,0.8
216,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
217,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
218,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
219,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
220,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
221,0.6666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.5,0.6666666666666666,0.3333333333333333
222,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666
223,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
224,0.5,0.5,1.0,0.5,1.0,1.0,1.0,0.5,0.5
225,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
226,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
227,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
228,0.5,1.0,0.5,1.0,1.0,0.5,0.0,0.5,0.0
229,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
230,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
231,1.0,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,0.8333333333333334,0.6666666666666666,0.5,0.8333333333333334
232,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0
233,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,1.0
234,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
236,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
237,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
239,0.4444444444444444,0.7777777777777778,0.4444444444444444,0.4444444444444444,0.3333333333333333,0.4444444444444444,0.6666666666666666,0.3333333333333333,0.2222222222222222
240,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
241,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
243,0.5,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5
244,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
245,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,0.3333333333333333,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0
248,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
249,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
250,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
251,1.0,0.9230769230769231,0.8461538461538461,0.5384615384615384,0.7692307692307693,0.9230769230769231,0.6153846153846154,0.6923076923076923,0.5384615384615384
252,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
253,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
254,1.0,1.0,0.6,0.4,1.0,0.8,1.0,0.6,0.8
255,1.0,1.0,0.5,0.25,1.0,0.75,1.0,0.5,0.75
256,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
257,1.0,1.0,0.5,0.5,1.0,0.5,1.0,1.0,1.0
258,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0
259,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
260,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
261,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
262,1.0,1.0,1.0,0.8333333333333334,0.8333333333333334,1.0,0.5,0.6666666666666666,0.5
263,1.0,1.0,1.0,0.5,0.5,1.0,0.5,0.5,0.5
264,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
265,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
266,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
267,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,1.0,0.6666666666666666
268,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.5
269,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
270,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
271,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
272,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666
273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5
274,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
275,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
276,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
277,0.8444444444444444,0.7777777777777778,0.8,0.7777777777777778,0.7333333333333333,0.7333333333333333,0.6,0.4888888888888889,0.5111111111111111
278,0.8,0.8,0.6,0.7,0.6,0.5,0.5,0.6,0.4
279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
280,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
281,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
282,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
283,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
284,0.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0
285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
286,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
287,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.25
288,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0
289,1.0,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.3333333333333333
290,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
291,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,0.5
292,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
293,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
294,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.8571428571428571,1.0,1.0,0.7142857142857143,0.8571428571428571,0.5714285714285714
295,0.75,0.75,0.75,0.75,1.0,1.0,0.5,0.75,0.25
296,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,0.3333333333333333,0.6666666666666666,0.0
297,1.0,0.5,1.0,1.0,1.0,1.0,0.5,1.0,0.0
298,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
299,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
300,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
301,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
302,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
304,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
307,0.8571428571428571,0.7857142857142857,0.8571428571428571,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.2857142857142857,0.5
308,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,1.0
309,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
310,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
311,1.0,0.8333333333333334,1.0,0.8333333333333334,0.6666666666666666,1.0,0.8333333333333334,0.3333333333333333,0.5
312,1.0,0.8,1.0,1.0,0.8,1.0,0.8,0.4,0.4
313,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
314,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
315,1.0,0.5,1.0,1.0,0.5,1.0,0.5,0.0,0.0
316,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
317,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
318,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
319,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
320,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.5,0.6666666666666666,0.16666666666666666,0.3333333333333333
321,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
