node,depth,gpt-4o-mini-2024-07-18,deepseek-math-7b-instruct,Llama-3.1-8B-Instruct,dart-math-llama3-8b-uniform,Llama-3-8B-Instruct
28,2.0,0.7055888223552894,0.4865269461077844,0.5204590818363274,0.4805389221556886,0.30988023952095806
29,3.0,0.6161790017211703,0.39070567986230637,0.4423407917383821,0.4010327022375215,0.24268502581755594
30,4.0,0.38461538461538464,0.16346153846153846,0.1346153846153846,0.21153846153846154,0.09615384615384616
31,4.0,0.6666666666666666,0.44025157232704404,0.5094339622641509,0.44234800838574423,0.2746331236897275
32,5.0,0.5238095238095238,0.30158730158730157,0.38095238095238093,0.31746031746031744,0.20634920634920634
33,5.0,0.7477477477477478,0.40540540540540543,0.4954954954954955,0.44144144144144143,0.25225225225225223
34,6.0,0.640625,0.25,0.34375,0.359375,0.1875
35,5.0,0.7407407407407407,0.5740740740740741,0.5370370370370371,0.48148148148148145,0.25925925925925924
36,5.0,0.7361111111111112,0.5694444444444444,0.5694444444444444,0.5555555555555556,0.2777777777777778
37,3.0,0.7420941672522839,0.5256500351370345,0.5523541813070977,0.5130007027406887,0.33731553056922
38,4.0,0.6807511737089202,0.431924882629108,0.39436619718309857,0.3568075117370892,0.23943661971830985
39,5.0,0.578125,0.375,0.328125,0.296875,0.125
40,5.0,0.6470588235294118,0.39215686274509803,0.37254901960784315,0.3137254901960784,0.27450980392156865
41,5.0,0.6792452830188679,0.37735849056603776,0.37735849056603776,0.3584905660377358,0.18867924528301888
42,4.0,0.8,0.5444444444444444,0.6555555555555556,0.5555555555555556,0.3277777777777778
43,5.0,0.7606837606837606,0.46153846153846156,0.5897435897435898,0.46153846153846156,0.24786324786324787
44,5.0,0.8709677419354839,0.6935483870967742,0.7741935483870968,0.7258064516129032,0.4838709677419355
45,4.0,0.47058823529411764,0.19117647058823528,0.25,0.2647058823529412,0.058823529411764705
46,4.0,0.8326530612244898,0.6285714285714286,0.6653061224489796,0.6285714285714286,0.4326530612244898
47,5.0,0.7368421052631579,0.5964912280701754,0.5789473684210527,0.6140350877192983,0.45614035087719296
48,4.0,0.8651685393258427,0.6779026217228464,0.6891385767790262,0.6554307116104869,0.4794007490636704
49,5.0,0.7530864197530864,0.5679012345679012,0.49382716049382713,0.5679012345679012,0.35802469135802467
50,5.0,0.9753086419753086,0.8271604938271605,0.8395061728395061,0.7160493827160493,0.654320987654321
51,6.0,1.0,0.8888888888888888,0.8703703703703703,0.7407407407407407,0.6296296296296297
52,4.0,0.5476190476190477,0.3333333333333333,0.36904761904761907,0.2857142857142857,0.14285714285714285
53,4.0,0.68,0.509090909090909,0.5236363636363637,0.509090909090909,0.3418181818181818
54,5.0,0.7313432835820896,0.6268656716417911,0.582089552238806,0.6417910447761194,0.3880597014925373
55,6.0,0.7166666666666667,0.6,0.5666666666666667,0.65,0.35
56,5.0,0.92,0.78,0.78,0.8,0.6
57,2.0,0.7797356828193832,0.48751835535976507,0.540381791483113,0.4552129221732746,0.3377386196769457
58,3.0,0.5125,0.1625,0.2625,0.1875,0.175
59,4.0,0.5066666666666667,0.17333333333333334,0.28,0.2,0.18666666666666668
60,3.0,0.88,0.72,0.7,0.66,0.5
61,3.0,0.7048192771084337,0.41566265060240964,0.4939759036144578,0.39156626506024095,0.25301204819277107
62,4.0,0.7019867549668874,0.40397350993377484,0.4900662251655629,0.39072847682119205,0.2582781456953642
63,5.0,0.6666666666666666,0.3888888888888889,0.4861111111111111,0.3611111111111111,0.18055555555555555
64,6.0,0.6666666666666666,0.391304347826087,0.4927536231884058,0.36231884057971014,0.18840579710144928
65,7.0,0.6557377049180327,0.36065573770491804,0.47540983606557374,0.36065573770491804,0.18032786885245902
66,8.0,0.6779661016949152,0.3728813559322034,0.4745762711864407,0.3728813559322034,0.1694915254237288
67,3.0,0.8604651162790697,0.5930232558139535,0.7325581395348837,0.5581395348837209,0.5348837209302325
68,3.0,0.8888888888888888,0.5703703703703704,0.5777777777777777,0.5407407407407407,0.3333333333333333
69,4.0,0.8596491228070176,0.47368421052631576,0.45614035087719296,0.42105263157894735,0.2982456140350877
70,4.0,0.9102564102564102,0.6410256410256411,0.6666666666666666,0.6282051282051282,0.358974358974359
71,5.0,0.9154929577464789,0.6197183098591549,0.6619718309859155,0.6056338028169014,0.352112676056338
72,6.0,0.9142857142857143,0.6285714285714286,0.6714285714285714,0.6142857142857143,0.35714285714285715
73,3.0,0.759493670886076,0.379746835443038,0.379746835443038,0.31645569620253167,0.20253164556962025
74,4.0,0.711864406779661,0.288135593220339,0.2542372881355932,0.22033898305084745,0.0847457627118644
