node,gpt-4-0125-preview,gpt-4-1106-preview,gpt-4-0613,gpt-4-0314,qwen1.5-72b-chat,mistral-medium,claude-1,gemini-pro,nous-hermes-2-mixtral-8x7b-dpo,gpt-3.5-turbo-0613,yi-34b-chat,starling-lm-7b-alpha,vicuna-33b,wizardlm-70b,claude-2.0,gemini-pro-dev-api,openchat-3.5-0106,mixtral-8x7b-instruct-v0.1,llama2-70b-steerlm-chat,tulu-2-dpo-70b,gpt-3.5-turbo-0314,llama-2-70b-chat,openchat-3.5,gpt-3.5-turbo-0125,openhermes-2.5-mistral-7b,wizardlm-13b,deepseek-llm-67b-chat,solar-10.7b-instruct-v1.0,claude-2.1,gpt-3.5-turbo-1106,claude-instant-1,mistral-7b-instruct-v0.2,zephyr-7b-alpha,pplx-70b-online,vicuna-13b,zephyr-7b-beta,guanaco-33b,codellama-34b-instruct,falcon-180b-chat,llama-2-13b-chat,stripedhyena-nous-7b,llama-2-7b-chat,qwen1.5-7b-chat,dolphin-2.2.1-mistral-7b,pplx-7b-online,mistral-7b-instruct,mpt-30b-chat,vicuna-7b,palm-2,qwen-14b-chat,koala-13b,chatglm3-6b,alpaca-13b,chatglm2-6b,gpt4all-13b-snoozy,mpt-7b-chat,RWKV-4-Raven-14B,qwen1.5-4b-chat,fastchat-t5-3b,oasst-pythia-12b,chatglm-6b,dolly-v2-12b,stablelm-tuned-alpha-7b,llama-13b
1313,313.91595801238077,313.91595801238077,991.753969516586,313.91595801238077,313.91595801238077,313.91595801238077,313.91595801238077,313.91595801238077,313.91595801238077,1052.8761952406778,313.91595801238077,313.91595801238077,313.91595801238077,313.91595801238077,313.91595801238077,313.91595801238077,,1114.0,,313.91595801238077,313.91595801238077,313.91595801238077,313.91595801238077,313.91595801238077,313.91595801238077,313.91595801238077,313.91595801238077,313.91595801238077,961.4266583452602,923.1522555748854,-3159.7133306031237,,,313.91595801238077,313.91595801238077,313.91595801238077,313.91595801238077,313.91595801238077,,313.91595801238077,,313.91595801238077,,,313.91595801238077,313.91595801238077,313.91595801238077,,,313.91595801238077,313.91595801238077,313.91595801238077,,,,,313.91595801238077,,313.91595801238077,313.91595801238077,313.91595801238077,,,
1466,1503.1015942639433,1536.5533968792593,1459.5522927479835,1114.0,1114.0,1474.9649930497658,1396.6576658160782,1114.0,1114.0,1218.5151185696093,,1131.2378770528157,1114.0,1114.0,1396.4761123419594,1114.0,,1114.0,,1114.0,1114.0,1270.128109334815,1193.9407961718284,1114.0,1114.0,1114.0,,1114.0,1347.5819980241092,1114.0,-2232.2568367054514,,1114.0,1402.379673608536,1451.5112668257825,1159.6559420189724,1114.0,1114.0,1114.0,1114.0,,1114.0,,,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,,1114.0,1114.0,,1114.0,1114.0,1114.0,,,1114.0
1862,522.958811571327,1253.2943835211051,1209.7502109215573,522.958811571327,522.958811571327,1302.898777954544,1064.2595073439313,1112.6498113330474,522.958811571327,1068.0154312739157,522.958811571327,990.1951349498818,1022.7041301393397,522.958811571327,1047.2742165141028,522.958811571327,,1114.0,1234.4405899930787,522.958811571327,522.958811571327,1061.7415678488103,522.958811571327,1075.901934946143,522.958811571327,522.958811571327,522.958811571327,522.958811571327,1036.2352627266253,1110.266983972318,1034.0090954224886,,522.958811571327,522.958811571327,1112.3039533010308,994.9138151399252,522.958811571327,1004.869114904431,522.958811571327,952.7871355712616,522.958811571327,522.958811571327,522.958811571327,522.958811571327,522.958811571327,522.958811571327,522.958811571327,-3580.466473839522,522.958811571327,522.958811571327,522.958811571327,522.958811571327,-6716.950729368833,,,522.958811571327,522.958811571327,,522.958811571327,522.958811571327,522.958811571327,522.958811571327,522.958811571327,522.958811571327
1919,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,,1114.0,,,1114.0,1114.0,1114.0,,1114.0,,1114.0,1114.0,,,,1114.0,1114.0,1114.0,,1114.0,,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,,,,,,,,,,,,1114.0
2423,1114.0,1210.298301302908,1326.4182123318114,1401.9290164646309,1114.0,1025.7676142858268,1327.108038012639,1294.9302070077945,1114.0,1168.2772007425215,1114.0,1114.0,1037.2473814589953,1114.0,1128.7194379714667,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,925.7846893349035,1114.0,1114.0,1114.0,874.685442657303,,1114.0,1302.476405668395,1166.3516371327228,1195.0400234586623,,1114.0,1124.1743149895187,1063.663951342422,1114.0,1114.0,1114.0,1114.0,1004.7784660382994,1114.0,1114.0,,,1114.0,1114.0,1114.0,1114.0,1078.9966468324287,1114.0,823.8494336377888,1114.0,1165.2382429289758,1114.0,1114.0,1114.0,892.4585725929428,1114.0,1114.0,1114.0,969.8067638070426,1114.0,1114.0,1114.0
2424,1114.0,1281.0043180730836,1342.2994404580793,1114.0,,1114.0,1290.3386363983218,1114.0,,1126.9426993411566,1114.0,1114.0,1004.7527520321572,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,824.1883406777791,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1040.1357228368586,,,1114.0,1002.3380901825635,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,,,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0
2804,1114.0,1712.3150509222658,1534.6727240334453,1900.246783594548,1114.0,1114.0,1114.0,1114.0,1114.0,1582.2425380525651,1114.0,,1114.0,1114.0,1473.1281157997773,1114.0,,1114.0,,,,1114.0,,,1114.0,1114.0,,,1114.0,1114.0,1679.0414190802867,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,-2083.646631482877,1114.0,1114.0,,,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,,
3031,1058.1172584282294,1240.924277906774,1062.6436207711308,1147.8161129010036,1099.7635604782504,1150.3452736926215,1306.042467927287,1145.6684305700674,1099.7635604782504,1166.7785352516835,1015.9841623750613,1099.7635604782504,1150.8750121109865,1088.3284757771994,1158.4279176050113,1099.7635604782504,,1114.0,1099.7635604782504,1099.7635604782504,1099.7635604782504,1099.3134175148425,1099.7635604782504,1214.4179263527062,1099.7635604782504,1137.1286915491673,1038.7828347853863,,1108.7386489798828,1156.5831037868516,1015.5692211106841,,1099.7635604782504,1099.7635604782504,902.4515300424838,1013.6074420533973,1099.7635604782504,1041.7980564738818,,970.6740069852764,1099.7635604782504,1132.6312372134325,,1099.7635604782504,1099.7635604782504,1006.1766167382476,1099.7635604782504,1099.7635604782504,994.3116807407679,1099.7635604782504,1099.7635604782504,1155.24373374695,1099.7635604782504,1099.7635604782504,,1099.7635604782504,,,1099.7635604782504,1099.7635604782504,1099.7635604782504,1099.7635604782504,,1099.7635604782504
3032,1114.0,1329.5419485777518,1114.0,1114.0,1114.0,1397.1589861296434,1114.0,,,1170.8556694049266,1114.0,1114.0,1114.0,1114.0,1098.5626610239408,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1219.7426748190896,1114.0,1114.0,,1114.0,,1114.0,1114.0,,1114.0,,754.922542022711,,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,827.215518021937,1114.0,1114.0,,1114.0,1114.0,,1114.0,,,1114.0,1114.0,1114.0,1114.0,,1114.0
3248,1175.7220326223953,1335.0445838020769,1088.0165198916739,1162.3011643942275,,1133.4793296049415,1291.4426014186854,1258.6317106849026,1133.4793296049415,1204.3240421591136,1133.4793296049415,1133.4793296049415,1072.8220872730744,1099.8284020766782,1133.4793296049415,1133.4793296049415,,1114.0,1133.4793296049415,1133.4793296049415,1133.4793296049415,1113.1009826522504,1133.4793296049415,1133.4793296049415,1133.4793296049415,1274.390624580738,1133.4793296049415,,1193.1120909808844,1198.3597960311486,1001.0932172556276,,1133.4793296049415,1133.4793296049415,826.7298350241513,1133.4793296049415,1133.4793296049415,1110.3909035611248,,909.8447131395251,1133.4793296049415,1110.8048635146351,,1133.4793296049415,1133.4793296049415,1133.4793296049415,1133.4793296049415,1133.4793296049415,1129.6264210359182,1133.4793296049415,1133.4793296049415,1133.4793296049415,1133.4793296049415,1133.4793296049415,,1133.4793296049415,,,1133.4793296049415,1133.4793296049415,1133.4793296049415,,,
3249,1114.0,1114.0,895.3530294897048,816.6107348211947,,1114.0,1114.0,1114.0,1114.0,797.0583029685627,1114.0,1114.0,1114.0,803.4344391086593,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,636.6844608694986,1114.0,1114.0,1114.0,1114.0,1114.0,,4470.139114536145,1114.0,646.9243273505112,,1114.0,1114.0,351.91479333546306,1114.0,1114.0,1013.1190883383978,,1114.0,1114.0,903.780060888426,,1114.0,1114.0,1114.0,1114.0,1114.0,918.9816482934341,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,,,1114.0,1114.0,,,,
3338,1114.0,1114.0,-459.5616565362461,2798.21859683365,,1114.0,1114.0,1114.0,1114.0,-459.56143011150857,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,2576.9044898149214,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,,1114.0,,1114.0,1114.0,1114.0,,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,,,,,1114.0,1114.0,,,,
3522,1114.0,999.4908125710335,923.1516525803767,999.4908125710335,,999.4908125710335,999.4908125710335,999.4908125710335,999.4908125710335,999.4908125710335,999.4908125710335,999.4908125710335,999.4908125710335,,999.4908125710335,999.4908125710335,,1114.0,999.4908125710335,999.4908125710335,999.4908125710335,999.4908125710335,999.4908125710335,999.4908125710335,999.4908125710335,923.15119367716,,,999.4908125710335,923.151216597631,999.4908125710335,,,999.4908125710335,999.4908125710335,999.4908125710335,999.4908125710335,999.4908125710335,,999.4908125710335,999.4908125710335,999.4908125710335,,,999.4908125710335,,,999.4908125710335,999.4908125710335,999.4908125710335,999.4908125710335,999.4908125710335,999.4908125710335,999.4908125710335,,,,,999.4908125710335,,999.4908125710335,,,
3702,1131.5171894518744,1287.980024918948,1287.9679403726939,1307.5882562528175,1131.5171894518744,1157.6971698987475,1135.3559586004808,1131.5171894518744,1131.5171894518744,1200.6243629191877,1131.5171894518744,1131.5171894518744,1103.6446334762518,1131.5171894518744,1210.0229547880474,1131.5171894518744,1131.5171894518744,1114.0,1131.5171894518744,1131.5171894518744,1131.5171894518744,1037.73180894422,1131.5171894518744,981.1309732777415,1131.5171894518744,1131.5171894518744,1131.5171894518744,1131.5790280376727,1220.0022660308016,1148.9281087233671,1199.6604677590144,,1131.5171894518744,1131.5171894518744,905.2666602384397,1131.5171894518744,1131.5171894518744,1131.5171894518744,1131.5171894518744,1175.934417718744,1131.5171894518744,1131.5171894518744,1131.5171894518744,,1131.5171894518744,1134.555507642392,1131.5171894518744,1131.5171894518744,975.6532017788228,1131.5171894518744,1131.5171894518744,1131.5171894518744,1131.5171894518744,1131.5171894518744,,1131.5171894518744,1131.5171894518744,1131.5171894518744,1131.5171894518744,1131.5171894518744,915.0200476590967,1131.5171894518744,1131.5171894518744,1131.5171894518744
4123,269.10127568243706,1393.5885915136764,269.10127568243706,269.10127568243706,269.10127568243706,269.10127568243706,269.10127568243706,269.10127568243706,269.10127568243706,923.1521983144121,,269.10127568243706,269.10127568243706,269.10127568243706,269.10127568243706,269.10127568243706,,1114.0,269.10127568243706,,269.10127568243706,269.10127568243706,269.10127568243706,269.10127568243706,269.10127568243706,269.10127568243706,269.10127568243706,269.10127568243706,-2354.335687098314,269.10127568243706,269.10127568243706,,,269.10127568243706,269.10127568243706,269.10127568243706,,269.10127568243706,269.10127568243706,269.10127568243706,269.10127568243706,269.10127568243706,269.10127568243706,,269.10127568243706,269.10127568243706,269.10127568243706,,269.10127568243706,,269.10127568243706,269.10127568243706,269.10127568243706,,,269.10127568243706,,,,269.10127568243706,269.10127568243706,269.10127568243706,,269.10127568243706
4288,1132.540576157804,1442.279823030838,1297.7072374767117,1254.7036843297506,1132.540576157804,1188.9911297829963,1078.5119357036183,1132.540576157804,1132.540576157804,1220.8344016680066,1132.540576157804,1132.540576157804,1209.591797309064,1132.540576157804,1354.7541439115116,1132.540576157804,1132.540576157804,1114.0,1132.540576157804,1132.540576157804,1132.540576157804,1132.540576157804,1132.540576157804,1132.540576157804,1132.540576157804,973.0457106570155,1132.540576157804,1132.540576157804,1115.3431788805556,1203.3519042340477,990.2466414723143,,1132.540576157804,1132.540576157804,1070.7368397560658,1062.0168453804524,1132.540576157804,1289.0771641246502,1132.540576157804,1130.0299373567768,1132.540576157804,1132.540576157804,1132.540576157804,1132.540576157804,1156.5113503247335,1132.540576157804,1132.540576157804,1120.0530742482401,1037.772861392696,1132.540576157804,902.2813680574899,1132.540576157804,1106.6773323315947,1132.540576157804,1132.540576157804,1132.540576157804,1132.540576157804,1132.540576157804,968.5876935436828,893.8677728144859,1132.540576157804,1132.540576157804,1132.540576157804,1132.540576157804
4289,,5092.743647115636,5092.743647115636,6139.839154045115,5092.743647115636,5092.743647115636,5092.743647115636,5092.743647115636,5092.743647115636,6516.136161076454,5092.743647115636,5092.743647115636,5092.743647115636,5092.743647115636,5092.743647115636,5092.743647115636,,1114.0,5092.743647115636,5092.743647115636,5092.743647115636,5092.743647115636,5092.743647115636,,,6291.74280305702,5092.743647115636,,5092.743647115636,5092.743647115636,5092.743647115636,,5092.743647115636,5092.743647115636,2700.194395525883,6443.646661644387,5092.743647115636,5092.743647115636,5092.743647115636,6443.646354460583,,5092.743647115636,5092.743647115636,5092.743647115636,,5092.743647115636,5092.743647115636,5092.743647115636,5092.743647115636,5092.743647115636,5092.743647115636,5092.743647115636,5092.743647115636,,5092.743647115636,5092.743647115636,,5092.743647115636,5092.743647115636,5092.743647115636,5092.743647115636,,5092.743647115636,
4565,1114.0,1413.7155227011865,1278.0062108699942,1393.036745932999,1114.0,1114.0,1020.1583778187725,1114.0,1114.0,1223.493329274268,1114.0,1114.0,1186.2620110817488,1114.0,1368.3241811287176,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1161.2130203114323,1123.1871024356678,845.3391429707551,,,1114.0,1019.4761950573222,1114.0,1114.0,1114.0,1114.0,1032.6083660240843,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,991.9195718632715,1114.0,775.1847126445937,1114.0,1114.0,1114.0,,,1114.0,,1114.0,878.0755098851863,1114.0,1114.0,1114.0,1114.0
4968,1353.1711798048063,1290.4978213703207,1200.129960299696,1163.291692971072,1144.952590636876,1154.2338772033656,1156.4139636073892,1089.512263123681,1147.0606153209771,1115.1873582623814,1189.3076260138607,1151.8757556247456,1169.3532409294285,1123.7149733830297,1101.6067940202604,1101.3639840755848,1074.9901700439937,1114.0,1122.4345040231474,1126.2883955122509,1143.345856926559,1138.3801857867425,1120.801786674911,1119.8578395862107,1073.9701701656463,1123.0476230824713,1121.6930195034727,1131.7863896445542,1086.1187237830939,1095.9565867215679,1118.546317150373,1074.9901700439937,1083.3338546070102,1128.2159966760198,1071.026099658008,1068.4871029852416,1110.2726811485456,1098.361372907651,1082.501643065324,1056.0307867916886,1053.2749594456172,1093.6703343152058,942.3521770634466,1032.645348379042,1088.3785145739366,1030.1489051642816,1057.8560922930676,1016.9345774779515,1015.7706290742894,937.7079540467792,1041.9307346620622,936.0819201401055,931.8678210141959,1074.9901700439937,966.5005236147421,966.565224472919,923.4447835918352,1074.9901700439937,879.206024634349,926.4600132008345,836.2769411499514,908.026889860259,853.1890313727904,1074.9901700439937
4969,,-1207.1699096229609,1114.0,1114.0,,1114.0,1114.0,,,-1207.1692869564831,,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,2621.3085610925846,2741.7213344708107,2621.3093010160455,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,
5172,1114.0,1114.0,1080.283545770592,1114.0,1114.0,1114.0,1212.4467163204124,,1114.0,1125.238819200369,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,1038.0309187086266,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,,1114.0,,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,,1114.0,,1114.0,1114.0,1114.0,,1114.0,
5368,1037.0383826611699,1178.3667786959302,1037.9671285292438,1052.034599968415,1037.0383826611699,951.4401016864673,1000.8810964473148,1037.0383826611699,1037.0383826611699,1036.7971031950335,1037.0383826611699,1037.0383826611699,1070.4659870601345,1037.0383826611699,1010.3077306328522,1037.0383826611699,,1114.0,1037.0383826611699,1065.1556762367695,1037.0383826611699,1142.2948209025783,1037.0383826611699,1037.0383826611699,1037.0383826611699,1310.0809396390557,1037.0383826611699,1037.0383826611699,916.1229131344837,1037.0383826611699,1095.922184607372,1037.0383826611699,,1037.0383826611699,952.0266769097736,915.213416987067,1037.0383826611699,1037.0383826611699,,1037.0383826611699,1037.0383826611699,1091.7990569704264,1037.0383826611699,,1037.0383826611699,827.2501438148104,1037.0383826611699,1059.1504529102378,959.2635922803141,991.2656352762873,1037.0383826611699,1037.0383826611699,1037.0383826611699,,1037.0383826611699,1037.0383826611699,1037.0383826611699,,1037.0383826611699,1037.0383826611699,1037.0383826611699,1037.0383826611699,1037.0383826611699,
