node,gpt-4o-2024-08-06,gpt-3.5-turbo-0613,deepseek-coder-6.7b-base
149,1.0,1.0,0.0
150,1.0,1.0,0.0
151,0.6666666666666666,0.0,0.0
152,0.0,0.0,0.0
153,1.0,0.0,0.0
154,1.0,0.0,0.0
155,1.0,0.0,0.0
156,0.7222222222222222,0.3333333333333333,0.3333333333333333
157,1.0,0.0,1.0
158,0.3333333333333333,0.3333333333333333,0.3333333333333333
159,0.0,1.0,0.0
160,0.5,0.0,0.5
161,0.0,0.0,0.0
162,1.0,0.0,1.0
163,0.5,1.0,0.75
164,0.3333333333333333,1.0,0.6666666666666666
165,0.0,1.0,1.0
166,0.5,1.0,0.5
167,0.0,1.0,1.0
168,1.0,1.0,0.0
169,1.0,1.0,1.0
170,1.0,0.0,0.0
171,1.0,0.0,0.0
172,1.0,0.0,0.0
173,0.5,0.0,0.0
174,1.0,0.0,0.0
175,0.0,0.0,0.0
176,1.0,0.3333333333333333,0.3333333333333333
177,1.0,0.5,0.5
178,1.0,0.0,1.0
179,1.0,1.0,0.0
180,1.0,0.0,0.0
181,1.0,0.0,0.0
182,1.0,0.0,0.0
183,1.0,0.0,0.0
184,1.0,0.0,0.0
185,1.0,0.0,0.0
186,0.47619047619047616,0.30687830687830686,0.2804232804232804
187,0.0,0.0,0.14285714285714285
188,0.0,0.0,0.0
189,0.0,0.0,0.0
190,0.0,0.0,0.0
191,0.0,0.0,0.2
192,0.0,0.0,1.0
193,0.0,0.0,0.0
194,0.0,0.0,0.0
195,0.0,0.0,0.0
196,0.0,0.0,0.0
197,0.0,0.0,0.0
198,0.0,0.0,0.0
199,0.0,0.0,0.0
200,0.4166666666666667,0.08333333333333333,0.4166666666666667
201,0.0,0.0,0.0
202,0.0,0.0,0.0
203,0.0,0.0,0.0
204,0.0,0.0,0.0
205,0.5,0.0,1.0
206,1.0,0.0,1.0
207,0.0,0.0,1.0
208,0.0,0.0,0.0
209,0.0,0.0,0.0
210,0.0,0.0,0.0
211,1.0,0.5,1.0
212,1.0,1.0,1.0
213,1.0,0.0,1.0
214,0.6666666666666666,0.0,0.3333333333333333
215,1.0,0.0,0.0
216,1.0,0.0,0.0
217,0.0,0.0,1.0
218,0.23529411764705882,0.23529411764705882,0.11764705882352941
219,0.0,0.0,0.0
220,0.0,0.0,0.0
221,0.0,0.0,0.0
222,0.0,0.0,1.0
223,1.0,0.0,1.0
224,0.0,0.0,0.0
225,0.0,0.0,0.0
226,0.0,0.0,0.0
227,0.0,1.0,0.0
228,0.0,1.0,0.0
229,0.0,1.0,0.0
230,0.25,0.25,0.0
231,0.0,0.0,0.0
232,0.3333333333333333,0.3333333333333333,0.0
233,0.0,0.0,0.0
234,0.0,0.0,0.0
235,0.0,0.0,0.0
236,1.0,1.0,0.0
237,0.4,0.2,0.0
238,1.0,0.0,0.0
239,0.25,0.25,0.0
240,0.0,0.0,0.0
241,0.3333333333333333,0.3333333333333333,0.0
242,0.0,0.0,0.0
243,0.0,0.0,0.0
244,1.0,1.0,0.0
245,0.45454545454545453,0.2727272727272727,0.09090909090909091
246,0.0,0.0,0.0
247,0.0,0.0,0.0
248,0.0,0.0,0.0
249,1.0,1.0,1.0
250,0.0,0.0,0.0
251,0.0,0.0,0.0
252,0.5,0.0,0.0
253,1.0,0.0,0.0
254,0.0,0.0,0.0
255,1.0,0.6666666666666666,0.0
256,1.0,0.0,0.0
257,1.0,1.0,0.0
258,1.0,1.0,0.0
259,0.45,0.15,0.15
260,1.0,0.0,0.0
261,1.0,0.0,0.0
262,1.0,0.0,0.0
263,0.0,0.0,0.0
264,0.0,0.0,0.0
265,0.0,0.0,0.0
266,0.3333333333333333,0.0,0.6666666666666666
267,1.0,0.0,1.0
268,0.0,0.0,0.5
269,0.0,0.0,0.0
270,0.0,0.0,1.0
271,1.0,0.0,0.0
272,1.0,0.0,0.0
273,1.0,0.0,0.0
274,0.3333333333333333,0.0,0.16666666666666666
275,1.0,0.0,0.0
276,0.2,0.0,0.2
277,1.0,0.0,0.0
278,0.0,0.0,0.5
279,0.0,0.0,0.0
280,0.0,0.0,1.0
281,0.0,0.0,0.0
282,0.0,0.0,0.0
283,0.0,0.0,0.0
284,0.4,0.6,0.0
285,0.0,0.0,0.0
286,0.5,0.75,0.0
287,1.0,1.0,0.0
288,0.3333333333333333,0.6666666666666666,0.0
289,0.0,1.0,0.0
290,0.5,0.5,0.0
291,0.0,0.0,0.0
292,1.0,1.0,0.0
293,0.5294117647058824,0.4117647058823529,0.3137254901960784
294,0.25,0.25,0.0
295,0.0,0.5,0.0
296,0.0,0.0,0.0
297,0.0,1.0,0.0
298,0.5,0.0,0.0
299,1.0,0.0,0.0
300,0.0,0.0,0.0
301,0.0,0.0,0.0
302,0.0,0.0,0.0
303,0.0,0.0,0.0
304,0.6666666666666666,0.3333333333333333,0.3333333333333333
305,1.0,0.0,0.0
306,1.0,1.0,1.0
307,0.0,0.0,0.0
308,0.25,0.25,0.25
309,0.0,0.0,0.0
310,1.0,1.0,1.0
311,0.0,0.0,0.0
312,0.0,0.0,0.0
313,0.0,0.0,0.0
314,0.5714285714285714,0.42857142857142855,0.2857142857142857
315,0.0,0.0,0.0
316,0.75,0.5,0.5
317,1.0,0.5,0.5
318,1.0,0.0,0.0
319,1.0,1.0,1.0
320,0.0,0.0,0.0
321,1.0,1.0,1.0
322,0.5,0.5,0.0
323,0.0,1.0,0.0
324,1.0,0.0,0.0
325,0.25,0.0,0.0
326,0.0,0.0,0.0
327,0.0,0.0,0.0
328,0.5,0.0,0.0
329,1.0,0.0,0.0
330,0.0,0.0,0.0
331,0.625,0.625,0.125
332,1.0,1.0,1.0
333,0.0,1.0,0.0
334,1.0,0.0,0.0
335,1.0,1.0,0.0
336,0.5,0.5,0.0
337,1.0,1.0,0.0
338,0.0,0.0,0.0
339,0.0,0.0,0.0
340,1.0,1.0,0.0
341,1.0,1.0,1.0
342,1.0,1.0,1.0
343,1.0,1.0,1.0
344,1.0,1.0,1.0
345,0.6363636363636364,0.45454545454545453,0.45454545454545453
346,0.6666666666666666,0.6666666666666666,0.3333333333333333
347,0.5,0.5,0.0
348,0.0,1.0,0.0
349,1.0,0.0,0.0
350,1.0,1.0,1.0
351,1.0,0.0,1.0
352,0.0,0.0,0.0
353,0.0,0.0,0.0
354,0.0,0.0,0.0
355,0.8,0.6,0.6
356,0.5,1.0,1.0
357,0.0,1.0,1.0
358,1.0,1.0,1.0
359,1.0,0.3333333333333333,0.3333333333333333
360,1.0,0.0,0.0
361,1.0,0.5,0.5
362,1.0,0.0,0.0
363,1.0,1.0,1.0
364,0.6,0.4,0.6
365,1.0,0.3333333333333333,0.3333333333333333
366,1.0,0.0,0.0
367,1.0,0.0,1.0
368,1.0,1.0,0.0
369,0.0,0.5,1.0
370,0.0,1.0,1.0
371,0.0,0.0,1.0
372,0.4583333333333333,0.4166666666666667,0.25
373,0.0,0.0,0.0
374,0.0,0.0,0.0
375,1.0,0.5,0.5
376,1.0,1.0,0.0
377,1.0,0.0,1.0
378,1.0,1.0,0.0
379,1.0,1.0,0.0
380,1.0,1.0,0.0
381,0.0,0.0,0.0
382,0.0,0.0,0.0
383,0.0,0.0,0.0
384,1.0,1.0,1.0
385,1.0,1.0,1.0
386,1.0,1.0,1.0
387,0.0,0.0,0.0
388,0.0,0.0,0.0
389,0.0,0.0,0.0
390,0.0,0.0,0.0
391,0.0,0.0,0.0
392,0.5,0.5,0.0
393,0.0,0.0,0.0
394,1.0,1.0,0.0
395,0.3333333333333333,0.3333333333333333,0.3333333333333333
396,0.5,0.5,0.5
397,1.0,1.0,1.0
398,0.0,0.0,0.0
399,0.3333333333333333,0.0,0.3333333333333333
400,1.0,0.0,1.0
401,0.0,0.0,0.0
402,0.0,0.0,0.0
403,0.0,1.0,0.0
404,0.6666666666666666,0.6666666666666666,0.3333333333333333
405,1.0,0.0,0.0
406,0.5,1.0,0.5
407,1.0,1.0,1.0
408,0.0,1.0,0.0
409,0.7368421052631579,0.3684210526315789,0.5263157894736842
410,0.0,0.3333333333333333,0.0
411,0.0,0.0,0.0
412,0.0,0.0,0.0
413,0.0,0.0,0.0
414,0.0,1.0,0.0
415,1.0,0.3333333333333333,0.6666666666666666
416,1.0,0.5,1.0
417,1.0,1.0,1.0
418,1.0,0.0,1.0
419,1.0,0.0,0.0
420,0.0,0.0,0.0
421,0.6666666666666666,0.0,0.0
422,1.0,0.0,0.0
423,0.0,0.0,0.0
424,1.0,0.0,0.0
425,1.0,1.0,1.0
426,1.0,1.0,1.0
427,1.0,1.0,1.0
428,1.0,1.0,1.0
429,1.0,1.0,1.0
430,1.0,0.0,0.75
431,1.0,0.0,1.0
432,1.0,0.0,1.0
433,1.0,0.0,1.0
434,1.0,0.0,0.5
435,1.0,0.0,0.0
436,1.0,0.0,1.0
437,1.0,1.0,1.0
438,1.0,1.0,1.0
439,1.0,1.0,1.0
440,0.5294117647058824,0.4117647058823529,0.35294117647058826
441,0.6666666666666666,0.6666666666666666,0.6666666666666666
442,1.0,1.0,1.0
443,1.0,1.0,1.0
444,0.0,0.0,0.0
445,0.6363636363636364,0.36363636363636365,0.36363636363636365
446,1.0,1.0,0.0
447,1.0,1.0,1.0
448,0.0,0.0,1.0
449,0.0,0.0,0.0
450,0.0,0.0,0.0
451,0.0,1.0,1.0
452,1.0,0.0,0.0
453,1.0,0.0,0.0
454,1.0,0.0,0.0
455,1.0,0.3333333333333333,0.3333333333333333
456,1.0,0.5,0.5
457,1.0,0.0,0.0
458,1.0,1.0,1.0
459,1.0,0.0,0.0
460,0.0,0.3333333333333333,0.0
461,0.0,0.0,0.0
462,0.0,0.0,0.0
463,0.0,1.0,0.0
464,0.5454545454545454,0.18181818181818182,0.2727272727272727
465,1.0,1.0,0.0
466,0.5,0.0,0.5
467,0.0,0.0,0.0
468,1.0,0.0,1.0
469,0.0,0.0,0.0
470,0.5,0.0,0.5
471,1.0,0.0,0.0
472,0.0,0.0,1.0
473,1.0,0.0,0.5
474,1.0,0.0,0.0
475,1.0,0.0,1.0
476,0.0,0.0,0.0
477,0.0,0.0,0.0
478,0.0,0.0,0.0
479,1.0,1.0,0.0
480,0.5,0.35294117647058826,0.2222222222222222
481,0.5087719298245614,0.3684210526315789,0.15789473684210525
482,0.0,0.0,0.0
483,0.0,0.0,0.0
484,0.0,0.0,0.0
485,0.25,0.4166666666666667,0.08333333333333333
486,0.0,0.0,0.0
487,0.0,0.0,0.0
488,0.0,0.0,0.0
489,0.0,0.0,0.0
490,0.3333333333333333,0.3333333333333333,0.3333333333333333
491,1.0,0.0,0.0
492,0.0,0.5,0.5
493,0.0,1.0,1.0
494,0.0,0.0,0.0
495,1.0,1.0,0.0
496,0.5,1.0,0.0
497,1.0,1.0,0.0
498,0.0,1.0,0.0
499,0.0,0.3333333333333333,0.0
500,0.0,0.0,0.0
501,0.0,0.0,0.0
502,0.0,0.0,0.0
503,0.0,1.0,0.0
504,0.0,0.0,0.0
505,1.0,0.6,0.4
506,1.0,0.6666666666666666,0.6666666666666666
507,1.0,0.5,0.5
508,1.0,0.0,0.0
509,1.0,1.0,1.0
510,1.0,1.0,1.0
511,1.0,0.5,0.0
512,1.0,0.0,0.0
513,1.0,1.0,0.0
514,0.5,0.0,0.5
515,1.0,0.0,0.0
516,0.0,0.0,1.0
517,0.3333333333333333,0.0,0.0
518,1.0,0.0,0.0
519,0.0,0.0,0.0
520,0.0,0.0,0.0
521,0.6666666666666666,0.5,0.5
522,1.0,1.0,1.0
523,0.0,0.0,0.0
524,0.0,0.0,0.0
525,0.0,0.0,0.0
526,1.0,0.5,0.5
527,1.0,1.0,1.0
528,1.0,0.0,0.0
529,1.0,1.0,1.0
530,1.0,0.6,0.2
531,1.0,0.3333333333333333,0.3333333333333333
532,1.0,0.0,0.0
533,1.0,0.0,0.0
534,1.0,1.0,1.0
535,1.0,1.0,0.0
536,1.0,1.0,0.0
537,1.0,1.0,0.0
538,0.3888888888888889,0.3333333333333333,0.05555555555555555
539,0.5,0.0,0.0
540,0.0,0.0,0.0
541,1.0,0.0,0.0
542,0.0,0.0,0.0
543,0.3333333333333333,0.6666666666666666,0.0
544,0.5,0.5,0.0
545,1.0,1.0,0.0
546,0.0,0.0,0.0
547,0.0,1.0,0.0
548,0.5,0.0,0.0
549,1.0,0.0,0.0
550,0.0,0.0,0.0
551,1.0,0.0,0.0
552,1.0,0.0,0.0
553,0.0,0.0,0.0
554,0.0,0.0,0.0
555,0.0,0.0,0.0
556,0.5,0.5,0.5
557,1.0,0.0,0.0
558,0.0,1.0,1.0
559,0.3333333333333333,0.6666666666666666,0.0
560,0.0,0.5,0.0
561,0.0,0.0,0.0
562,0.0,1.0,0.0
563,1.0,1.0,0.0
564,0.0,1.0,0.0
565,1.0,0.3333333333333333,0.0
566,1.0,1.0,0.0
567,1.0,0.0,0.0
568,1.0,0.0,0.0
569,1.0,0.0,0.0
570,0.5,0.41304347826086957,0.2826086956521739
571,0.3333333333333333,0.6666666666666666,0.3333333333333333
572,1.0,1.0,1.0
573,0.0,0.5,0.0
574,0.0,1.0,0.0
575,0.0,0.0,0.0
576,1.0,1.0,0.3333333333333333
577,1.0,1.0,0.0
578,1.0,1.0,0.5
579,1.0,1.0,0.0
580,1.0,1.0,1.0
581,0.2,0.0,0.0
582,0.0,0.0,0.0
583,0.25,0.0,0.0
584,0.3333333333333333,0.0,0.0
585,0.0,0.0,0.0
586,0.5,0.0,0.0
587,0.0,0.0,0.0
588,1.0,0.0,0.0
589,0.0,0.0,0.0
590,1.0,0.8,0.8
591,1.0,1.0,1.0
592,1.0,0.75,0.75
593,1.0,1.0,1.0
594,1.0,0.0,0.0
595,1.0,1.0,1.0
596,1.0,1.0,1.0
597,1.0,1.0,1.0
598,0.5,0.25,0.25
599,1.0,0.5,0.5
600,1.0,1.0,1.0
601,1.0,0.0,0.0
602,0.0,0.0,0.0
603,0.0,0.0,0.0
604,0.0,0.0,0.0
605,0.5,0.6666666666666666,0.3333333333333333
606,0.3333333333333333,0.3333333333333333,0.3333333333333333
607,0.0,0.0,0.0
608,0.5,0.5,0.5
609,0.0,1.0,0.0
610,1.0,0.0,1.0
611,1.0,1.0,0.0
612,0.5,1.0,0.5
613,0.0,1.0,0.0
614,1.0,1.0,1.0
615,0.5454545454545454,0.36363636363636365,0.2727272727272727
616,1.0,1.0,0.0
617,0.0,0.0,0.0
618,1.0,1.0,1.0
619,0.0,0.0,0.0
620,1.0,1.0,1.0
621,1.0,1.0,1.0
622,1.0,1.0,1.0
623,0.0,0.0,0.0
624,0.0,0.0,0.0
625,0.0,0.0,0.0
626,0.5,0.0,0.0
627,1.0,0.0,0.0
628,0.0,0.0,0.0
629,1.0,0.0,0.0
630,0.2,0.0,0.0
631,0.0,0.0,0.0
632,0.0,0.0,0.0
633,0.0,0.0,0.0
634,0.5,0.0,0.0
635,1.0,0.0,0.0
636,0.0,0.0,0.0
637,0.0,0.0,0.0
638,0.0,0.0,0.0
639,0.0,0.0,0.0
640,0.0,0.0,0.0
641,0.0,0.0,0.0
642,0.0,0.0,0.0
643,1.0,1.0,1.0
644,0.48314606741573035,0.3258426966292135,0.19101123595505617
645,0.0,0.0,0.0
646,0.0,0.0,0.0
647,0.0,0.0,0.0
648,0.47058823529411764,0.17647058823529413,0.23529411764705882
649,1.0,1.0,1.0
650,0.0,0.0,0.0
651,0.0,0.0,0.0
652,0.5,0.0,0.0
653,0.0,0.0,0.0
654,1.0,0.0,0.0
655,0.5,0.0,0.0
656,0.0,0.0,0.0
657,1.0,0.0,0.0
658,0.0,0.0,0.0
659,0.0,0.0,0.0
660,0.0,0.0,0.0
661,1.0,1.0,1.0
662,1.0,1.0,1.0
663,0.0,0.0,0.0
664,0.0,0.0,0.0
665,0.0,0.0,0.0
666,0.0,0.0,0.0
667,0.0,0.0,0.0
668,1.0,0.0,0.3333333333333333
669,1.0,0.0,0.0
670,1.0,0.0,0.5
671,1.0,0.0,0.0
672,1.0,0.0,1.0
673,0.5714285714285714,0.42857142857142855,0.2857142857142857
674,0.4,0.6,0.4
675,0.0,1.0,1.0
676,0.0,1.0,1.0
677,0.0,1.0,1.0
678,0.6666666666666666,0.3333333333333333,0.0
679,0.0,1.0,0.0
680,1.0,0.0,0.0
681,1.0,0.0,0.0
682,1.0,0.0,0.0
683,1.0,0.0,0.0
684,1.0,0.0,0.0
685,0.4,0.2,0.1
686,0.0,0.0,0.0
687,0.0,0.0,0.0
688,0.0,0.0,0.0
689,0.0,0.0,0.0
690,0.0,0.0,0.0
691,1.0,1.0,0.0
692,1.0,1.0,0.0
693,1.0,1.0,0.0
694,1.0,0.0,1.0
695,0.0,0.0,0.0
696,0.0,0.0,0.0
697,0.0,0.0,0.0
698,0.5,0.0,0.0
699,0.0,0.0,0.0
700,1.0,0.0,0.0
701,0.16666666666666666,0.16666666666666666,0.0
702,0.0,0.0,0.0
703,0.0,0.0,0.0
704,0.0,0.0,0.0
705,0.0,0.0,0.0
706,1.0,1.0,0.0
707,0.0,0.0,0.0
708,0.0,0.0,0.0
709,0.0,0.0,0.0
710,0.4166666666666667,0.3333333333333333,0.16666666666666666
711,0.0,0.0,0.0
712,0.0,0.0,0.0
713,0.0,0.0,0.0
714,0.0,0.0,0.0
715,0.0,0.0,0.0
716,0.0,0.0,0.0
717,0.6666666666666666,0.6666666666666666,0.3333333333333333
718,0.0,0.0,0.0
719,1.0,1.0,1.0
720,1.0,1.0,0.0
721,0.75,0.5,0.25
722,1.0,1.0,0.0
723,0.6666666666666666,0.3333333333333333,0.3333333333333333
724,1.0,0.0,1.0
725,0.0,0.0,0.0
726,1.0,1.0,0.0
727,1.0,0.4,0.4
728,1.0,0.0,0.0
729,1.0,0.0,0.0
730,1.0,0.0,0.0
731,1.0,0.6666666666666666,0.6666666666666666
732,1.0,0.0,0.0
733,1.0,1.0,1.0
734,1.0,1.0,1.0
735,1.0,1.0,1.0
736,0.6,0.4666666666666667,0.3333333333333333
737,1.0,0.0,1.0
738,0.5714285714285714,0.5,0.2857142857142857
739,1.0,0.0,0.0
740,0.0,0.0,0.0
741,1.0,1.0,0.0
742,0.0,0.0,0.0
743,0.0,0.0,1.0
744,1.0,1.0,1.0
745,1.0,0.0,0.0
746,1.0,0.5,0.0
747,1.0,0.0,0.0
748,1.0,1.0,0.0
749,0.5,0.75,0.5
750,1.0,1.0,0.0
751,0.3333333333333333,0.6666666666666666,0.6666666666666666
752,0.0,0.5,0.5
753,0.0,0.0,0.0
754,0.0,1.0,1.0
755,1.0,1.0,1.0
756,0.0,1.0,0.0
757,0.4,0.2,0.0
758,0.0,0.0,0.0
759,0.0,0.0,0.0
760,0.6666666666666666,0.3333333333333333,0.0
761,0.0,0.0,0.0
762,1.0,0.5,0.0
763,1.0,0.0,0.0
764,1.0,1.0,0.0
765,0.5,0.6,0.1
766,1.0,1.0,0.0
767,1.0,0.6666666666666666,0.0
768,1.0,1.0,0.0
769,1.0,0.5,0.0
770,1.0,0.0,0.0
771,1.0,1.0,0.0
772,0.3333333333333333,1.0,0.3333333333333333
773,0.0,1.0,1.0
774,0.5,1.0,0.0
775,0.0,1.0,0.0
776,1.0,1.0,0.0
777,0.0,0.0,0.0
778,0.0,0.0,0.0
779,0.0,0.0,0.0
780,0.0,0.0,0.0
781,0.0,0.0,0.0
782,0.5454545454545454,0.45454545454545453,0.2727272727272727
783,1.0,0.5,0.5
784,1.0,1.0,1.0
785,1.0,0.0,0.0
786,0.5,0.25,0.0
787,0.0,0.0,0.0
788,0.6666666666666666,0.3333333333333333,0.0
789,1.0,0.0,0.0
790,0.0,0.0,0.0
791,1.0,1.0,0.0
792,0.5,0.75,0.5
793,1.0,1.0,0.0
794,0.0,0.0,0.0
795,0.5,1.0,1.0
796,1.0,1.0,1.0
797,0.0,1.0,1.0
798,0.0,0.0,0.0
799,0.4897959183673469,0.42857142857142855,0.2653061224489796
800,0.5,0.5,0.0
801,0.0,1.0,0.0
802,1.0,0.0,0.0
803,0.5,0.5,0.0
804,1.0,0.0,0.0
805,0.0,1.0,0.0
806,0.5,0.5,0.0
807,0.0,0.0,0.0
808,1.0,1.0,0.0
809,0.6666666666666666,0.6666666666666666,0.0
810,0.0,0.0,0.0
811,1.0,0.0,0.0
812,0.0,1.0,0.0
813,1.0,1.0,0.0
814,1.0,1.0,0.0
815,1.0,1.0,0.0
816,1.0,1.0,0.0
817,0.0,0.0,0.3333333333333333
818,0.0,0.0,0.0
819,0.0,0.0,0.5
820,0.0,0.0,0.0
821,0.0,0.0,1.0
822,0.5,0.375,0.5
823,0.0,1.0,0.0
824,0.5714285714285714,0.2857142857142857,0.5714285714285714
825,1.0,1.0,0.5
826,1.0,1.0,1.0
827,1.0,1.0,0.0
828,0.0,0.0,0.0
829,0.5,0.0,0.75
830,0.0,0.0,1.0
831,1.0,0.0,0.5
832,1.0,0.0,1.0
833,1.0,0.0,0.0
834,0.0,0.0,1.0
835,0.5,0.25,0.25
836,0.5,0.0,0.5
837,0.0,0.0,0.0
838,1.0,0.0,1.0
839,0.0,0.0,0.0
840,1.0,1.0,0.0
841,0.0,0.0,0.3333333333333333
842,0.0,0.0,1.0
843,0.0,0.0,0.0
844,0.0,0.0,0.0
845,0.0,0.0,0.0
846,0.0,0.5,0.0
847,0.0,0.0,0.0
848,0.0,1.0,0.0
849,0.5454545454545454,0.45454545454545453,0.2727272727272727
850,1.0,1.0,1.0
851,1.0,0.0,1.0
852,1.0,1.0,0.0
853,0.0,0.0,0.0
854,1.0,1.0,0.0
855,0.0,0.0,0.0
856,1.0,1.0,0.0
857,0.3333333333333333,0.0,0.0
858,0.0,0.0,0.0
859,0.0,0.0,0.0
860,0.0,0.0,0.0
861,1.0,0.0,0.0
862,0.0,1.0,1.0
863,0.5,0.0,0.0
864,1.0,0.0,0.0
865,0.0,0.0,0.0
866,1.0,1.0,0.75
867,1.0,1.0,1.0
868,1.0,1.0,1.0
869,1.0,1.0,1.0
870,1.0,1.0,0.5
871,1.0,1.0,0.0
872,1.0,1.0,1.0
873,0.5185185185185185,0.24074074074074073,0.24074074074074073
874,0.6666666666666666,0.0,0.0
875,0.0,0.0,0.0
876,1.0,0.0,0.0
877,1.0,0.0,0.0
878,1.0,0.0,0.0
879,0.7333333333333333,0.6,0.4666666666666667
880,1.0,0.0,0.0
881,1.0,0.0,0.0
882,1.0,1.0,0.0
883,1.0,1.0,0.0
884,0.0,0.0,1.0
885,0.0,0.0,0.0
886,1.0,1.0,1.0
887,1.0,1.0,1.0
888,1.0,1.0,1.0
889,0.0,0.0,0.0
890,0.0,0.0,0.0
891,0.0,0.0,0.0
892,1.0,1.0,0.5
893,1.0,1.0,1.0
894,1.0,1.0,0.0
895,1.0,1.0,1.0
896,1.0,1.0,1.0
897,1.0,1.0,1.0
898,1.0,1.0,1.0
899,1.0,1.0,1.0
900,0.2,0.2,0.0
901,1.0,1.0,0.0
902,0.0,0.0,0.0
903,0.0,0.0,0.0
904,0.0,0.0,0.0
905,0.0,0.0,0.0
906,0.0,0.0,0.0
907,0.3333333333333333,0.0,0.0
908,0.0,0.0,0.0
909,0.5,0.0,0.0
910,0.0,0.0,0.0
911,1.0,0.0,0.0
912,0.6,0.0,0.0
913,0.0,0.0,0.0
914,0.75,0.0,0.0
915,1.0,0.0,0.0
