node,chatgpt-4o-latest,llama-3.1-405b-instruct,gpt-4o-2024-05-13,gemini-1.5-pro-exp-0801,claude-3-5-sonnet-20240620,gpt-4o-mini-2024-07-18,llama-3.1-70b-instruct,gpt-4-turbo-2024-04-09,athene-70b-0725,gpt-4o-2024-08-06,gemini-1.5-pro-api-0514,mistral-large-2407,llama-3-70b-instruct,yi-large-preview,gpt-4-1106-preview,gpt-4-0125-preview,deepseek-coder-v2-0724,gemma-2-9b-it-simpo,deepseek-v2-api-0628,glm-4-0520,claude-3-opus-20240229,yi-large,reka-core-20240722,gemini-1.5-flash-api-0514,gemma-2-27b-it,qwen2-72b-instruct,yi-1.5-34b-chat,dbrx-next,eureka-chatbot,deepseek-coder-v2,nemotron-4-340b-instruct,claude-3-sonnet-20240229,reka-core-20240501,llama-3-8b-instruct,gpt-4-0613,command-r-plus,reka-flash-20240722,llama-3.1-8b-instruct,gemma-2-9b-it,claude-3-haiku-20240307,mistral-large-2402,command-r,reka-flash-preview-20240611,phi-3-medium-4k-instruct,mixtral-8x22b-instruct-v0.1,mixtral-8x7b-instruct-v0.1,phi-3-small-8k-instruct,gpt-3.5-turbo-0125,gemma-2-2b-it,phi-3-mini-4k-instruct,phi-3-mini-4k-instruct-june-2024,codestral-2405,gemma-1.1-7b-it,dbrx-instruct-preview,snowflake-arctic-instruct
18,1114.0,1114.0,1905.4524194631963,1114.0,1905.452418429104,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,1114.0,,,1114.0,1114.0,1114.0,,1114.0,1114.0,-468.9048378922994,,,,,1114.0,1114.0,1114.0,,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,,,
19,1114.0,1114.0,1833.2637564279453,1752.4488291636915,1864.8058094459775,-1886.62885852197,1114.0,2069.742150913259,1114.0,1114.0,1700.4152683930035,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1513.0668236979645,1114.0,1114.0,1879.1092569623843,1897.2498738095583,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1753.9606305155007,1114.0,1114.0,1114.0,1114.0,1114.0,-2123.433540807317,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,,
20,1114.0,1114.0,1114.0,1637.892383566304,1734.5849270167453,1114.0,1114.0,1114.0,1114.0,1114.0,1556.1536591270471,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1338.5424617765784,1114.0,1114.0,1744.8419826553118,1760.2306632148084,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1513.5933017753262,1114.0,1114.0,1114.0,1114.0,1114.0,-2373.839379132116,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,,
21,1114.0,1114.0,1114.0,1209.2613451134973,988.5405701713431,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,931.1661430680153,1114.0,1114.0,1114.0,1151.8872157536462,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1289.1447258934982,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,,
22,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,,,1114.0,1114.0,,1114.0,,1114.0,,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,,1114.0,,,,
23,1146.5150030282996,979.1377017933199,1132.321046675986,1114.0,1224.3838533753878,1157.5514002693624,1024.552468529887,1121.2542055518509,1134.1023137456018,1137.310135003484,1291.8691561641056,1114.0,989.0094915384606,1114.0,1114.0,1096.279337079925,1084.3332257521115,,1143.6823686478367,,1136.2845565905982,1114.0,980.6113365414994,1165.9403388982141,1216.236674098468,1114.0,1114.0,,1114.0,,,1114.0,1114.0,1114.0,1122.680016689547,1114.0,1114.0,1002.7907434016254,1061.8906268987048,1132.573861648045,1114.0,1114.0,1114.0,1114.0,1123.6405870398303,1114.0,1114.0,1114.0,1114.0,1114.0,1131.0495510378494,,,,
24,1108.8513083518028,967.0762461997269,1189.1045225441014,1114.0,1269.6216271232054,1134.213102833088,1028.7545814629857,1049.4157828744665,896.1780216811069,1158.7287212479484,1261.2030067143223,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1302.8408432181488,,1114.0,1114.0,982.3572026601544,1200.1441649543412,1114.0,1114.0,1114.0,,1114.0,,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1060.3677946677826,1044.251041135824,1170.8920323309944,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,,1114.0,,,,
25,1114.0,829.2160733101664,1222.0258353879017,1114.0,1305.9238476819498,1095.9906345399281,1114.0,1061.3211558576834,780.33004707507,1114.0,1261.8075862037335,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1415.2882159427622,,1114.0,1114.0,860.5602803551365,1177.8309607619833,1114.0,1114.0,,,1114.0,,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1243.705362883685,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,,1114.0,,,,
26,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,-1296.1993003032535,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,,1114.0,1114.0,1114.0,3524.1993003032535,1114.0,1114.0,,,1114.0,,,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,1114.0,,1114.0,,,,
27,1149.3451011990514,957.8623662355327,1064.1480564888966,1114.0,1214.731562787359,1163.3729533590538,1143.5419545905079,1114.0,1114.0,1102.810081428735,1114.0,1114.0,1154.6049731950727,1114.0,1114.0,1114.0,1114.0,,1031.6938231891563,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1157.8891275266346,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,,
28,1320.2554122943698,1308.705066149178,1344.9316065648986,1309.0509370562713,1319.5804900545186,1297.9038264334577,1299.143928477013,1324.5952151561441,1312.126969973805,1251.4493987675357,1248.00160194804,1277.579352701223,1245.6700329309365,1284.2020883381415,1377.141206156517,1292.1141495152465,1161.863902608793,1233.88114022206,1226.518420727067,1242.9951880654335,1237.4776914990518,1220.186673143858,1240.80078801345,1238.0156359722732,1253.6782758421668,1230.1077833237891,1190.832222201157,1233.88114022206,1233.88114022206,1182.049075320841,1269.8093243459534,1245.8741802761238,1189.2042103344302,1175.6261173874113,1218.066248615959,1177.7168775614514,1202.0220916367466,1218.3120278702131,1207.9659775914051,1217.3899721852777,1218.9445644531913,1214.3754089985396,1178.6345502859153,1196.0543125766203,1219.470232959829,1114.0,1129.642003770337,1143.6535518751173,1136.3305147418168,1169.1644382827403,1147.061185674616,1233.88114022206,1233.88114022206,,1233.88114022206
29,1114.0,1114.0,1212.9883564235436,1245.0684863089994,1102.311593137675,1235.4737790993076,1114.0,1114.0,1114.0,1114.0,923.8574344565417,1114.0,1021.5285532481527,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,978.5802449976013,1114.0,1114.0,1126.3862070912264,1114.0,1475.064062561583,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,848.798119060239,1083.943163615131,1114.0,1114.0,1114.0,1114.0,,1114.0,,1114.0,1114.0,,1114.0,,1114.0,,
31,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,,1114.0,1114.0,,1114.0,,,,
34,1114.0,1114.0,1520.5092989225122,1114.0,1552.9989426120344,1114.0,1114.0,1114.0,1114.0,1114.0,1650.8521947440631,1114.0,-1868.3933329144152,1114.0,1114.0,1114.0,1114.0,1114.0,1648.2370920141484,1114.0,1114.0,1114.0,1114.0,1114.0,1591.4980681598663,1702.2977364618032,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,,
35,1114.0,1114.0,1114.0,358.5389765309005,532.9535087894376,1114.0,1114.0,1114.0,,1114.0,358.5383585752826,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,243.9011937930553,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,4076.067962311315,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,,,,
39,1906.52359362696,1569.5380094617474,2032.3730085581185,1114.0,1794.070368286902,1307.0640399225922,1114.0,1114.0,1114.0,1114.0,1625.7137776668037,1114.0,1311.0889706354358,1114.0,1114.0,1114.0,,,1114.0,1114.0,1114.0,1114.0,1114.0,1184.8006645735195,1114.0,1114.0,1114.0,,1114.0,1103.6616717440047,1114.0,1114.0,1114.0,1114.0,1114.0,903.2812230514471,1114.0,1114.0,-2484.1153275275337,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,,,
42,,1114.0,1054.840353183965,1114.0,1143.5798209872269,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1143.5798258288082,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,1114.0,1114.0,1114.0,,1114.0,,
44,1369.3446438394292,1114.0,1114.0,1051.9530085145402,955.1918807886391,1114.0,1114.0,1142.5233270313217,1114.0,1114.0,1270.456018606825,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,958.1796429634196,1050.3514782558252,1114.0,1114.0,1114.0,1114.0,,,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,,,,
45,1241.5011396558593,1000.0,1000.0,1018.9990376711659,881.3588642186371,1000.0,1000.0,784.4640879485954,1000.0,1000.0,917.0305231514931,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1130.2493862345418,1000.0,1000.0,1000.0,1000.0,1000.0,1146.8792926775093,1000.0,1000.0,,,1000.0,1000.0,1000.0,,1000.0,946.6889011269865,1000.0,1000.0,1000.0,932.8287673152118,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,1000.0,,1000.0,1000.0,1000.0,,,,
46,1365.6108936099147,1114.0,1363.1463541775984,1484.750563144902,1419.3292585783806,1114.0,1114.0,1492.889532701837,1114.0,1252.3492047828995,1327.383906244848,1360.2786727076846,1192.675919675044,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1510.1321915008816,1114.0,1114.0,1114.0,1253.9607534604636,1114.0,1114.0,,1114.0,1114.0,1653.5199743225298,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,-2194.027224906982,1114.0,1114.0,1114.0,,,,1114.0
49,1114.0,1186.4140726751962,1201.2901114914373,1260.8435356364316,1240.2314895277875,1036.8909204283184,1114.0,1286.2058790054264,1171.3646102927773,1050.47264358032,1034.5633258928656,1241.093404977963,1168.913777057405,1151.6720743415488,1114.0,1114.0,1114.0,1114.0,1078.8275225167818,1114.0,1076.8172954257857,872.4892128566615,1179.2758000052668,1115.414011103657,1044.1668486459662,1071.5379219236056,1114.0,1114.0,1114.0,1114.0,1114.0,1068.233024422659,1114.0,1114.0,1114.0,1040.2038045603315,1114.0,1114.0,1004.8796888254943,1168.9977275563213,1114.0,1114.0,1114.0,,1206.2745805839834,1114.0,1114.0,892.9267166660087,1114.0,,1114.0,,,,
50,1000.0,1000.0,1000.0,1000.0,904.5757477603685,1000.0,1000.0,1000.0,1000.0,1000.0,1095.4242522396316,1000.0,1000.0,,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,,,,,,,,1000.0,1000.0,,,,1000.0,,,1000.0,,1000.0,,,,,,,,,,
51,1114.0,1114.0,1114.0,1114.0,1114.0,1046.8782383320263,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1163.5736620255416,,1114.0,1114.0,1114.0,1237.7266676028564,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,,1114.0,1114.0,1114.0,1007.8214320395758,1114.0,,1114.0,,,,
52,1114.0,1047.4755525340126,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,914.4265058969714,1114.0,1114.0,1313.5734941030287,1114.0,,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1180.5244474659874,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,,,,
57,1261.8297172463085,1315.8776540180938,1258.7753896454824,1258.839533833289,1277.735661392725,1184.9859107960688,1213.298288821642,1271.157784745114,1191.8727425132633,1247.235975083348,1244.9524609768323,1263.7941796619366,1221.1803344667892,1228.0276048126116,1275.829960728151,1191.068965257407,1204.4085609041022,1186.0980772488551,1232.0953517804087,1193.9139996716103,1244.080847878076,1228.5926205009773,1178.6489677897598,1185.7630216799246,1141.1837249732996,1233.7965799286712,1136.6192652730342,,1196.6017425997234,1167.386718936944,1230.2894954052385,1131.3423852433543,1170.4204567809475,1127.2126756432858,1191.278101399163,1133.727865555889,1174.0768407075695,1163.2646532376104,1142.5278678811273,1123.870085494268,1197.750157985206,1136.2825217226434,1130.879106644254,1178.8699891620922,1169.650549212115,1114.0,1173.0259045567557,1196.6017425997234,1131.2671032064004,1196.6017425997234,1181.4962417843465,1196.6017425997234,1196.6017425997234,1196.6017425997234,1196.6017425997234
58,1092.914699506723,1293.6722318359361,1137.8660609114108,1299.5699722817753,1292.1799082596956,1114.0,1061.8626379243067,1114.0,1114.0,1057.9850775215223,1186.3568796020522,1053.2405660254567,1016.8777704580577,1114.0,1114.0,1114.0,1114.0,1114.0,1119.3581366624976,1114.0,1114.0,1114.0,934.1902306083955,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1170.3094139625896,1114.0,1114.0,1114.0,1114.0,950.1148068076567,1114.0,1114.0,1114.0,1114.0,1043.5016076319243,1114.0,1114.0,1114.0,,,
59,1121.5017874474606,1114.0,1102.005010930718,1333.117758527197,1235.024914671005,1114.0,1114.0,1114.0,1114.0,947.5483290138179,1040.170467154052,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1018.6317322557494,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,,,
60,1189.702497064059,1189.7204205747112,1167.1410679502644,1141.883173747587,1170.8646562989416,1100.0153326270297,1136.7919985562485,1187.8441896368938,1115.9506231863686,1179.9817911586665,1151.6500849460888,1189.349343861234,1134.086120625527,1135.2102321194166,1207.108078106732,1098.9641341748684,1132.1188885520003,1117.4292690043942,1139.2868206060573,1118.1599577117927,1154.4252091654264,1137.6122433822713,1116.9076022456227,1109.9404996476333,1067.3622423599195,1157.4767210187717,1080.097593857447,,1114.0,1071.1367328289334,1129.5712507500598,1058.2862412628865,1071.5791090234095,1045.3846662923581,1132.0366664657336,1049.6304830185695,1091.9430693094919,1093.923557432965,1050.6775950640977,1047.4437672992356,1121.1300568439347,1044.3405167375,1061.9676755618725,1097.8059923395426,1078.8061131288305,1114.0,1063.192075525331,1114.0,1036.4611590649677,1114.0,1071.6024798643061,1114.0,1114.0,1114.0,1114.0
61,1205.733787710668,1173.485904043862,1172.8720659961953,1171.4432451737773,1171.9206295200775,1123.2030999023832,1116.7729781028177,1114.0,1193.4102740825435,1206.271925162341,1174.4263244197955,1168.4228444251048,1182.3410819557953,1098.9568334164574,1200.458875420388,1086.6872151306993,1119.4258333550804,1114.0,1129.469396959153,1114.0,1132.7426104262713,1079.6533312913523,1108.0716868553027,1165.0724899411475,1071.7425134238329,1154.4860471856637,1070.9990535382728,,1114.0,1092.5140704962932,1072.7894714396284,936.2533091737848,1020.6701435844967,1053.2788032978817,1079.2552443724694,1114.0,1093.9969788349622,1131.125308770615,1058.9344599578646,1044.0683969853565,1114.0,1062.7972911075283,1114.0,1127.3252612029955,1048.0682627792526,1114.0,1114.0,1114.0,1080.0205600094127,1114.0,1066.8323905484756,1114.0,1114.0,1114.0,1114.0
63,1152.206758856006,1104.8119308944924,1077.807168860616,1184.9823077015435,1221.8341801349604,1032.2766828078388,1050.838213551614,1114.0,1114.0,1139.6965077677542,1158.152365073157,1175.8281890017506,1179.8730431105378,1059.896484561109,1252.8388726393466,1114.0,1114.0,1114.0,1114.0,1114.0,1045.1818630428288,1114.0,1114.0,1106.069530810148,1000.9399377044629,1114.0,1114.0,,1114.0,1049.1054365140176,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1153.3356943589538,1020.3248326088622,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,,1114.0,1114.0,1114.0
65,1144.5986423776355,1114.0,1114.0,1204.9971267427736,1122.444792261914,1114.0,1135.5873132546988,1114.0,1114.0,1056.6916427082958,1114.0,1114.0,1176.8015495479026,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,956.8789331067795,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,,1114.0,,
