node,depth,chatgpt-4o-latest,gpt-4-1106-preview,gemini-1.5-pro-exp-0801,gpt-4o-mini-2024-07-18,gemma-2-9b-it-simpo,gpt-4o-2024-08-06,gpt-4o-2024-05-13,llama-3.1-405b-instruct,llama-3-70b-instruct,llama-3.1-70b-instruct,gpt-4-turbo-2024-04-09,athene-70b-0725,gemini-1.5-pro-api-0514,mistral-large-2407,yi-large-preview,claude-3-5-sonnet-20240620,gpt-4-0125-preview,gemini-1.5-flash-api-0514,reka-core-20240722,claude-3-opus-20240229,gemma-2-27b-it,deepseek-coder-v2-0724,command-r-plus,gpt-4-0613,dbrx-next,eureka-chatbot,deepseek-v2-api-0628,llama-3-8b-instruct,reka-flash-20240722,gemma-2-9b-it,dbrx-instruct-preview,command-r,llama-3.1-8b-instruct,qwen2-72b-instruct,mistral-large-2402,glm-4-0520,nemotron-4-340b-instruct,claude-3-haiku-20240307,yi-large,mixtral-8x22b-instruct-v0.1,reka-flash-preview-20240611,claude-3-sonnet-20240229,reka-core-20240501,yi-1.5-34b-chat,gemma-2-2b-it,gpt-3.5-turbo-0125,mixtral-8x7b-instruct-v0.1,phi-3-medium-4k-instruct,phi-3-small-8k-instruct,gemma-1.1-7b-it,deepseek-coder-v2,codestral-2405,snowflake-arctic-instruct,phi-3-mini-4k-instruct,phi-3-mini-4k-instruct-june-2024
13,2,1262.1612387500236,1210.3210088545825,1263.1554286568326,1241.8058808471155,1205.246304233021,1220.6611212097173,1258.0016062383188,1249.7102164208895,1218.760118548014,1234.8405104622493,1232.6975728133125,1233.5820333976408,1218.322067810112,1218.3683806076588,1221.90589096161,1236.2459291253208,1205.375678838298,1175.5916076584017,1185.3392577300701,1200.721480797299,1181.183915280224,1197.0416622170583,1162.7678125764367,1155.9380779727553,1178.5502665608647,1178.5502665608647,1203.5818760810803,1168.9291825839507,1164.5487361236926,1158.8335838826156,1110.6739775487754,1162.1817304948063,1152.3307883727493,1179.8209487714478,1172.3167345297052,1209.2262687839138,1173.532048538044,1147.8278971764457,1186.356314794543,1160.5252716063846,1163.186695620893,1172.3186510888668,1149.8484647191713,1178.808817367384,1109.1670320358296,1095.7654025733605,1114.0,1134.8864203803223,1096.9652130207744,1068.895399953867,1138.2838288486614,1098.602643458737,1178.5502665608647,1126.2479040143103,1097.2072267876733
14,3,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,,1114.0,1114.0,
15,3,1314.4585048115266,1314.197299926017,1195.6097564654383,1111.3310107677346,1114.0,1114.0,1325.3925530549334,1252.2715416181745,1143.4886868315268,1098.6139648338967,1197.8871016633282,1114.0,1134.639599120006,1115.3103976509879,1082.882325765078,1193.2005817533372,1196.718060104434,1037.9376670917711,1114.0,1194.4309041158315,1078.9258630456889,1048.6092548275035,1138.6348811172475,1205.3591886328804,1114.0,1114.0,992.9064107956649,1000.4956884537385,1060.7794870176888,1033.7749208339733,1114.0,1114.0,1050.9190420407785,1068.9411048839397,1114.0,1051.1899508260367,1035.23022282624,1139.4086170314158,1114.0,1061.3883272178878,838.1501002066155,1114.0,1114.0,1114.0,1035.3002214836868,1114.0,1114.0,1114.0,1114.0,1114.0,1013.6167631849919,1114.0,1114.0,1114.0,1114.0
16,3,1254.5182147175396,1114.0,1062.4170814868007,1146.8179224558323,1114.0,1174.3462208401163,1076.1468717149771,1080.045453620533,1196.7635942492934,1128.8044239067735,1018.6985515939283,1114.0,1172.2870729618232,1142.5000174545264,1114.0,1132.595150990973,1114.0,1110.9716849998326,1114.0,1114.0,1036.3955617556649,1114.0,1137.9719740767562,1114.0,1114.0,1114.0,1116.0419296903806,1098.6353525307222,1196.282281698769,1128.632762473006,,1114.0,1114.0,1071.1981748705593,1114.0,1114.0,1114.0,931.93716271844,1114.0,1114.0,1201.4152130904533,1114.0,1006.5773261022995,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0
17,3,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1027.438127666573,1114.0,1114.0,1114.0,1013.4229640537583,1114.0,1114.0,1302.4379859532073,,1114.0,1114.0,1114.0,1112.7009223264613,,1114.0,1114.0,,,1114.0,1114.0,,1114.0,,,1114.0,1114.0,,1114.0,,1114.0,1114.0,1114.0,,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,,,1114.0,,,,1114.0
18,3,1114.0,788.0219922205113,1146.4367329087613,1114.0,1114.0,1114.0,1114.0,1114.0,1144.4793546730677,1088.549934718883,1114.0,1051.8034578925513,1238.1600489771686,1212.1789503805812,1114.0,1075.8097374905376,1114.0,1044.17553571519,1306.3115101803164,1101.2690527120783,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1208.9942898011973,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1075.809402329156,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0
19,3,1114.0,1114.0,1191.730540716167,1114.0,1114.0,1114.0,1153.6923022231133,1114.0,1173.922324289886,1114.0,1114.0,1114.0,1146.1358027377405,1114.0,1114.0,1122.2760626381034,1114.0,1133.0816883182883,1114.0,1089.4925220826235,1097.577794208908,1114.0,1173.228689118047,1138.3007527815957,,1114.0,1105.5200110828978,1114.0,1070.7987080903206,1114.0,,1114.0,1114.0,1147.800384494588,1114.0,1114.0,1114.0,1044.8679222458672,1114.0,1204.605440008103,1114.0,967.7455049192847,1114.0,1114.0,1058.1873815877989,1114.0,1114.0,1033.036168456667,1114.0,,1114.0,,,1114.0,1114.0
20,3,1237.8858360167653,1280.9935031814362,1378.1030326265493,1181.0728738769458,1114.0,1249.4205107290654,1168.1652427151255,1171.6026432485487,1031.5442007675642,1112.8819178328713,1197.2966969715305,1178.6865205381346,1120.9097594226841,1114.0,1114.0,1100.8545264909385,1114.0,1114.0,1114.0,1103.4857589883084,1010.6553642502324,1197.691667291378,1114.0,1114.0,1114.0,1114.0,827.2757166625806,1114.0,1114.0,1002.9722211914959,,1114.0,1114.0,1220.6623930438059,1114.0,1114.0,1114.0,938.0127581857828,1114.0,1114.0,1114.0,987.3955770409332,1188.2692587348142,1086.3900942237824,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,763.7719259687267,1114.0,1114.0,1114.0,1114.0
21,3,1114.0,1114.0,1127.411739418563,1185.834698167104,,1153.2257272472216,1161.9174515358734,972.6981619943725,1054.3622571389717,1114.0,1114.0,1114.0,957.2171098007203,1114.0,1114.0,1173.1681284100441,1114.0,1188.3865958613592,1114.0,1114.0,1059.8041365412773,1114.0,1114.0,1114.0,,1114.0,1188.7713803410245,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1145.2026135434683,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,1114.0,1114.0,,1114.0,1114.0
22,3,1227.9269604592268,1278.8834637137602,1298.7332949724555,1109.4434862338358,,1196.3890389342987,1198.2795375719743,1190.7722204670254,1195.9703201740786,1177.9969467907886,1113.4216048862868,1182.7682859413856,1214.0686397431937,1303.6905628876307,1196.3890389342987,1215.8215957300513,1319.8432704313277,1280.908825950597,1196.3890389342987,1105.2347887956057,1179.9847487559664,1196.3890389342987,1228.3642719127474,1216.0459921001689,1196.3890389342987,1196.3890389342987,1203.6291241722768,1108.9311806945993,1105.97569182493,1151.7164182691008,,1196.3890389342987,1196.3890389342987,1196.3890389342987,1196.3890389342987,1196.3890389342987,1196.3890389342987,1206.9175949149658,1196.3890389342987,1196.3890389342987,1142.26945210547,1196.3890389342987,1196.3890389342987,1230.9057717266187,1196.3890389342987,1196.3890389342987,1114.0,1196.3890389342987,1196.3890389342987,1196.3890389342987,1196.3890389342987,1196.3890389342987,1196.3890389342987,,1196.3890389342987
23,3,908.7502054882646,1114.0,1246.3189078786504,1114.0,1114.0,1268.5665350735117,1096.9506383040916,1243.9880634766946,1114.0,1114.0,1114.0,1114.0,993.0501686301944,1114.0,1114.0,1124.420662017053,1114.0,1234.5299930564338,1114.0,1117.7238948544482,1115.5245245869312,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0,1114.0,1123.637909975168,,1114.0,1148.5664846198474,1114.0,1114.0,1114.0,1114.0,1024.0086711574154,1114.0,992.4584110271104,1114.0,1114.0,1114.0,1071.5049298541853,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,
24,3,1191.7356921312096,1235.5128078204448,1192.7035520478462,1141.376550407237,1114.0,1198.1462858931793,1126.0396444871187,1205.8035128640865,1168.4177718324227,1131.8543156530695,1121.302642876233,1106.0954858800328,1093.9632098097297,1086.181410672298,1151.2705097648618,1116.8724384831203,1114.0,1119.3291955277368,1206.7312812050864,1190.3507240175168,1081.6157475100026,1114.0,1120.1915563737616,1102.575325681717,1114.0,1114.0,1150.5012231918063,1120.3405537990598,1201.3816951723727,1057.806860487919,1114.0,1114.0,1078.662613198062,1130.7285926071606,1114.0,1114.0,1114.0,998.264771796439,1049.0989349466922,1140.8667445008616,1030.124372401245,1084.05178116052,1075.3981294525727,953.5170079070263,1114.0,1114.0,1114.0,939.4822040045201,1171.1521937267023,,1114.0,1114.0,,1114.0,948.5526607083291
25,3,1108.5217185583983,1105.0196275193457,994.4745359073031,1095.5433747317202,1059.981644088206,1123.139014414542,1142.3143078744679,1098.4766129803731,1122.1375495066648,1112.128801172011,1126.4146935018268,1012.7090833364947,1091.750311483822,1128.3546524486446,1099.2496986324672,1105.5197430930002,1072.0558959216662,1037.8755198256968,1043.7546926637178,1036.5711937048422,1085.4072539333874,1061.2617320410498,1045.955057811178,1059.981644088206,1059.981644088206,1059.981644088206,1000.1392178282953,1047.4096093442156,1154.7662423141837,1099.498970309461,1059.981644088206,1059.981644088206,1001.2452646657825,1006.535193363035,1129.3275512629991,1010.7376543438943,920.1192643809894,1053.294156778949,889.1947380602969,1059.981644088206,1199.6409339130673,1077.6336392341736,1051.59394744891,908.715129791259,1028.9981695274178,1053.3891269561543,1114.0,1026.4448479122184,1043.5097140836492,1059.981644088206,976.0885382953094,1059.981644088206,1059.981644088206,1059.981644088206,998.2753590041807
26,3,1173.878392236495,1256.697692544663,1216.3446348792768,1183.3475820620615,1128.7398270856575,1139.917238976922,1146.165553900907,1213.8208996460266,1218.9666965955016,1178.73953292737,1208.7797694083524,1157.2262071002342,1124.8698390282038,1104.8343106717398,1152.7566438442223,1087.6188748774607,1026.569814165507,1081.116632271718,1182.979154392759,1063.9296681811302,1118.3763914246301,1157.1777189246504,1152.6456296208373,1056.6891359977062,1128.7398270856575,1128.7398270856575,1195.9623292438391,1155.9546346018656,1088.0911183128444,1128.299950229888,1128.7398270856575,1120.7076673740073,1083.2463853249524,1118.0485356184363,1120.237944906317,1140.7759191338773,1126.083842580334,1045.6802913258023,1150.3646545418537,1140.1256782811065,1181.27566485641,1045.1922385466332,1205.3368911618613,1166.5780513325194,1150.4057491366577,1071.1952231358425,1114.0,1110.6160379852604,966.0024285434586,1128.7398270856575,997.1429044247042,1128.7398270856575,,1128.7398270856575,1025.999718749059
27,3,1236.642274303993,1197.994360890699,1195.8437948595172,1284.5981852631537,1168.4731099926473,1172.0730122734578,1141.2889011061993,1250.2991049620946,1279.9244122004884,1200.7545030763274,1177.4468266875692,1228.263908818024,1179.8398126898724,1177.8934452266822,1208.8829224678418,1139.014495966178,1175.788100844677,1194.1287970209378,1115.7180402103677,1098.0677105854516,1212.950868004215,1232.8155791527806,1194.564657120827,1143.340405470586,1168.4731099926473,1168.4731099926473,1169.870341908961,1204.6761208202836,1155.3201048905862,1178.296859345557,1168.4731099926473,1180.7614571077002,1168.1473296296583,1143.2518276114793,1206.4008515634346,1188.6687293002778,1114.0527726300857,1169.1310896663567,1165.5410366940914,1150.6366471389874,1126.0925673546897,1104.80258034361,1134.5769507943044,1129.153498267764,1138.1665319963608,1156.4175282947876,1114.0,1099.8855421074204,1168.4731099926473,1168.4731099926473,1116.9266070795256,1168.4731099926473,,1168.4731099926473,996.8519659139143
28,3,1333.0189272176099,1237.232723983843,1283.1546337915177,1281.2790085529687,,1255.4095698955157,1339.4553204122947,1220.3486765336165,1311.4069793132844,1072.6323971190805,1245.65538156455,1297.6267021121305,1245.170719320064,1281.1231518997652,1106.0011587356084,1161.9549407099703,1236.9172107372674,1236.914790315986,1289.742514013325,1220.7769513438764,1213.7184056828596,1194.4572315141331,1105.469286807845,1315.2852722793732,,1194.4572315141331,1087.5991353453921,1324.2434934821401,1157.6335612660023,1131.4126416802367,,1194.4572315141331,1035.7615050396419,1160.1311730190444,1017.496412897299,1219.0184457614293,1138.8490441391182,1051.0000135152318,1237.1033548041223,1194.4572315141331,1190.5052448336412,1025.0683295257013,1194.4572315141331,1194.4572315141331,1112.1874522366,1070.6712251587135,1114.0,1185.3480832115274,1194.4572315141331,1194.4572315141331,1229.9654223071318,1194.4572315141331,,1194.4572315141331,1194.4572315141331
29,3,1059.3392087539012,1114.0,1101.102713331577,1290.1240010743552,1114.0,1114.0,1149.5387048165394,1190.0125870728605,1114.0,1114.0,1114.0,1114.0,1162.5734003907821,1114.0,1114.0,1048.936534154772,1114.0,1114.0,1114.0,1016.5508081806435,1136.9099958019647,1114.0,1114.0,1114.0,1114.0,,1047.4931381130937,1114.0,1114.0,1036.8387299612573,1114.0,1114.0,855.4545011242108,1334.1292753274295,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1166.9964018966132,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,,1114.0,1114.0
30,3,1162.6754938180738,,1273.8286393653855,1114.0,,1194.926688654768,1096.8675353129524,946.3982270501314,1114.0,1255.4957807207613,1114.0,1114.0,1232.4654231550094,1114.0,1114.0,1060.9501249421533,1114.0,1114.0,1114.0,863.8015620481467,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1167.4421821088015,1114.0,1114.0,1114.0,,1114.0,857.4132463631446,1110.113387843599,1114.0,,1114.0,1114.0,1114.0,1259.6217086170736,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,1114.0,,1114.0,1114.0
